xlow	xhigh	val	errminus	errplus
2.040000e+00	2.052000e+00	1.002611e+00	2.610966e-03	2.610966e-03
2.052000e+00	2.064000e+00	1.008671e+00	4.991396e-03	4.991396e-03
2.064000e+00	2.076000e+00	1.011050e+00	5.501857e-03	5.501857e-03
2.076000e+00	2.088000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.088000e+00	2.100000e+00	1.006309e+00	4.454177e-03	4.454177e-03
2.100000e+00	2.112000e+00	1.010453e+00	6.013882e-03	6.013882e-03
2.112000e+00	2.124000e+00	1.007812e+00	5.513429e-03	5.513429e-03
2.124000e+00	2.136000e+00	1.004673e+00	4.672897e-03	4.672897e-03
2.136000e+00	2.148000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.148000e+00	2.160000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.160000e+00	2.172000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.172000e+00	2.184000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.184000e+00	2.196000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.196000e+00	2.208000e+00	1.012987e+00	9.153145e-03	9.153145e-03
2.208000e+00	2.220000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.220000e+00	2.232000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.232000e+00	2.244000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.244000e+00	2.256000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.256000e+00	2.268000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.268000e+00	2.280000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.280000e+00	2.292000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.292000e+00	2.304000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.304000e+00	2.316000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.316000e+00	2.328000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.328000e+00	2.340000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.340000e+00	2.352000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.352000e+00	2.364000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.364000e+00	2.376000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.376000e+00	2.388000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.388000e+00	2.400000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.400000e+00	2.412000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.412000e+00	2.424000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.424000e+00	2.436000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.436000e+00	2.448000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.448000e+00	2.460000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.460000e+00	2.472000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.472000e+00	2.484000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.484000e+00	2.496000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.496000e+00	2.508000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.508000e+00	2.520000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.520000e+00	2.532000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.532000e+00	2.544000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.544000e+00	2.556000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.556000e+00	2.568000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.568000e+00	2.580000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.580000e+00	2.592000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.592000e+00	2.604000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.604000e+00	2.616000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.616000e+00	2.628000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.628000e+00	2.640000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.640000e+00	2.652000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.652000e+00	2.664000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.664000e+00	2.676000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.676000e+00	2.688000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.688000e+00	2.700000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.700000e+00	2.712000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.712000e+00	2.724000e+00	1.000000e+00	nan	nan
2.724000e+00	2.736000e+00	nan	nan	nan
2.736000e+00	2.748000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.748000e+00	2.760000e+00	1.000000e+00	nan	nan
2.760000e+00	2.772000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.772000e+00	2.784000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.784000e+00	2.796000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.796000e+00	2.808000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.808000e+00	2.820000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.820000e+00	2.832000e+00	1.000000e+00	nan	nan
2.832000e+00	2.844000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.844000e+00	2.856000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.856000e+00	2.868000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.868000e+00	2.880000e+00	nan	nan	nan
2.880000e+00	2.892000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.892000e+00	2.904000e+00	nan	nan	nan
2.904000e+00	2.916000e+00	1.000000e+00	nan	nan
2.916000e+00	2.928000e+00	1.000000e+00	nan	nan
2.928000e+00	2.940000e+00	1.000000e+00	nan	nan
2.940000e+00	2.952000e+00	1.000000e+00	0.000000e+00	0.000000e+00
2.952000e+00	2.964000e+00	1.000000e+00	nan	nan
2.964000e+00	2.976000e+00	nan	nan	nan
2.976000e+00	2.988000e+00	nan	nan	nan
2.988000e+00	3.000000e+00	1.000000e+00	nan	nan
